title,link,source,direct_link
"Mangione charged with murder as act of terrorism. And, path to unionizing reality TV","=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-38759/up-first-newsletter-luigi-mangione-indicted-wisconsin-school-shooter-mental-health"")",NPR,https://www.npr.org/2024/12/18/g-s1-38759/up-first-newsletter-luigi-mangione-indicted-wisconsin-school-shooter-mental-health
How much power would RFK Jr. have at HHS? A former health secretary weighs in,"=HYPERLINK(""https://www.npr.org/sections/shots-health-news/2024/12/18/nx-s1-5231869/rfk-hhs-health-secretary-senators-sebelius"")",NPR,https://www.npr.org/sections/shots-health-news/2024/12/18/nx-s1-5231869/rfk-hhs-health-secretary-senators-sebelius
This weightlifting gym helps older people build more than just strength,"=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-38137/active-aging-baltimore-gym-weightlifting-older-athletes-strength"")",NPR,https://www.npr.org/2024/12/18/g-s1-38137/active-aging-baltimore-gym-weightlifting-older-athletes-strength
Best Earplugs for Sleeping in 2024,"=HYPERLINK(""https://www.cnet.com/health/sleep/best-earplugs-for-sleeping/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/health/sleep/best-earplugs-for-sleeping/#ftag=CAD590a51e
Newcastle vs. Brentford Livestream: How to Watch Carabao Cup Soccer From Anywhere,"=HYPERLINK(""https://www.cnet.com/tech/services-and-software/newcastle-vs-brentford-livestream-how-to-watch-carabao-cup-soccer-from-anywhere/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/tech/services-and-software/newcastle-vs-brentford-livestream-how-to-watch-carabao-cup-soccer-from-anywhere/#ftag=CAD590a51e
"I Took a Nap on Demand, Thanks to This $350 Headband","=HYPERLINK(""https://www.cnet.com/health/sleep/i-took-a-nap-on-demand-thanks-to-this-350-headband/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/health/sleep/i-took-a-nap-on-demand-thanks-to-this-350-headband/#ftag=CAD590a51e
Treat Yourself to Google's Pixel 9 Pro XL This Christmas With Its Biggest-Ever Discount,"=HYPERLINK(""https://www.cnet.com/deals/treat-yourself-to-googles-pixel-9-pro-xl-this-christmas-with-its-biggest-ever-discount/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/deals/treat-yourself-to-googles-pixel-9-pro-xl-this-christmas-with-its-biggest-ever-discount/#ftag=CAD590a51e
Arsenal vs. Crystal Palace Livestream: How to Watch Carabao Cup Soccer From Anywhere,"=HYPERLINK(""https://www.cnet.com/tech/services-and-software/arsenal-vs-crystal-palace-livestream-how-to-watch-carabao-cup-soccer-from-anywhere/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/tech/services-and-software/arsenal-vs-crystal-palace-livestream-how-to-watch-carabao-cup-soccer-from-anywhere/#ftag=CAD590a51e
Our Favorite Budget Wi-Fi Extender Is Just $15 for the Holidays,"=HYPERLINK(""https://www.cnet.com/deals/our-favorite-budget-wi-fi-extender-is-just-15-for-the-holidays/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/deals/our-favorite-budget-wi-fi-extender-is-just-15-for-the-holidays/#ftag=CAD590a51e
The Fed's Set to Cut Interest Rates Today. Will Your Wallet Feel the Difference?,"=HYPERLINK(""https://www.cnet.com/personal-finance/banking/the-feds-set-to-cut-interest-rates-today-will-your-wallet-feel-the-difference/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/personal-finance/banking/the-feds-set-to-cut-interest-rates-today-will-your-wallet-feel-the-difference/#ftag=CAD590a51e
Up Your Coffee Game This Christmas and Pay a Lowest-Ever $198 for This Bruvi Coffee Bundle,"=HYPERLINK(""https://www.cnet.com/deals/up-your-coffee-game-this-christmas-and-pay-a-lowest-ever-198-for-this-bruvi-coffee-bundle/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/deals/up-your-coffee-game-this-christmas-and-pay-a-lowest-ever-198-for-this-bruvi-coffee-bundle/#ftag=CAD590a51e
"Best Internet Providers in Memphis, Tennessee","=HYPERLINK(""https://www.cnet.com/home/internet/best-internet-providers-in-memphis-tn/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/home/internet/best-internet-providers-in-memphis-tn/#ftag=CAD590a51e
This $60 Pair of Galaxy Earbuds Is the Perfect Last-Minute Christmas Gift,"=HYPERLINK(""https://www.cnet.com/deals/this-60-pair-of-galaxy-earbuds-is-the-perfect-last-minute-christmas-gift/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/deals/this-60-pair-of-galaxy-earbuds-is-the-perfect-last-minute-christmas-gift/#ftag=CAD590a51e
"Refinance Rates Trend Higher on Fed Day: Today's Refi Rates, Dec. 18, 2024","=HYPERLINK(""https://www.cnet.com/personal-finance/refi-rates-increase-on-fed-day-todays-refinance-rates-dec-18-2024/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/personal-finance/refi-rates-increase-on-fed-day-todays-refinance-rates-dec-18-2024/#ftag=CAD590a51e
"The Best Way to Keep Mice Away, According to a Rodent Research Director","=HYPERLINK(""https://www.cnet.com/how-to/the-best-way-to-keep-mice-away-according-to-a-rodent-research-director/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/how-to/the-best-way-to-keep-mice-away-according-to-a-rodent-research-director/#ftag=CAD590a51e
How to Find Out if Your COVID Tests Are Expired,"=HYPERLINK(""https://www.cnet.com/health/how-to-find-out-if-your-covid-tests-are-expired/#ftag=CAD590a51e"")",CNET,https://www.cnet.com/health/how-to-find-out-if-your-covid-tests-are-expired/#ftag=CAD590a51e
